Pollinator Library ID,Determined By,Order,Family,Genus,Species,Origin Facility,Date,Time,Collected By,Plant Order,Plant Family,Plant Genus,Plant Species,Land Use,State Collected,County Collected,Elevation (m),Longitude,Latitude,Average Wind Speed (km/h),Air temperature (°C),Relative Humidity (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2012ND_023,Sara Clark,Diptera,Stratiomyidae,Odontomyia,sp.,Northern Prairie Wildlife Research Center,20120605,N/A,Russ Bryant,Apiales,Apiaceae ,Zizia,aurea,National Wildlife Refuge,North Dakota,Richland,329,-96.97,46.07,10,27,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2012ND_024,Sara Clark,Diptera,Syrphidae,Lejops,lineatus,Northern Prairie Wildlife Research Center,20120605,N/A,Russ Bryant,Euphorbiales,Euphorbiaceae,Euphorbia,esula,National Wildlife Refuge,North Dakota,Richland,329,-96.97,46.07,10,27,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2012ND_025,Sam O'Dell,Diptera,Syrphidae,Syrphus,sp.,Northern Prairie Wildlife Research Center,20120605,N/A,Russ Bryant,Euphorbiales,Euphorbiaceae,Euphorbia,esula,National Wildlife Refuge,North Dakota,Richland,329,-96.97,46.07,10,27,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2012ND_026,Sara Clark,Diptera,Syrphidae,Eristalis,stipator,Northern Prairie Wildlife Research Center,20120605,N/A,Russ Bryant,Euphorbiales,Euphorbiaceae,Euphorbia,esula,National Wildlife Refuge,North Dakota,Richland,329,-96.97,46.07,10,27,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2012ND_027,Sara Clark,Diptera,Calliphoridae,Lucilia,sp.,Northern Prairie Wildlife Research Center,20120605,N/A,Russ Bryant,Euphorbiales,Euphorbiaceae,Euphorbia,esula,National Wildlife Refuge,North Dakota,Richland,329,-96.97,46.07,10,27,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2012ND_028,Sara Clark,Hymenoptera,Andrenidae,Andrena,sp.,Northern Prairie Wildlife Research Center,20120605,N/A,Russ Bryant,Apiales,Apiaceae ,Zizia,aurea,National Wildlife Refuge,North Dakota,Richland,329,-96.97,46.07,10,27,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2012ND_029,Sara Clark,Hymenoptera,Andrenidae,Andrena,sp.,Northern Prairie Wildlife Research Center,20120605,N/A,Russ Bryant,Apiales,Apiaceae ,Zizia,aurea,National Wildlife Refuge,North Dakota,Richland,329,-96.97,46.07,10,27,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2012ND_030,Sara Clark,Hymenoptera,Halictidae,Lasioglossum,sp.,Northern Prairie Wildlife Research Center,20120606,N/A,Russ Bryant,Ranunculales,Ranunculaceae,Anemone,canadensis,National Wildlife Refuge,North Dakota,Stutsman,481,-98.86,47.22,5,29,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2012ND_031,Sara Clark,Hymenoptera,Halictidae,Lasioglossum,sp.,Northern Prairie Wildlife Research Center,20120607,N/A,Russ Bryant,Asterales,Asteraceae,N/A,N/A,National Wildlife Refuge,North Dakota,McIntosh,633,-99.29,46.14,16,22,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2012ND_032,Sara Clark,Hymenoptera,Halictidae,Lasioglossum,sp.,Northern Prairie Wildlife Research Center,20120612,N/A,Russ Bryant,Asterales,Asteraceae,Erigeron,annuus,Conservation Reserve Program,North Dakota,Logan,602,-99.41,46.39,16,22,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
